"Horodateur","J'accepte de répondre à ce questionnaire et que les données soient utilisées de manière anonyme.","Sexe","Tranche d'âge en année","Fonction en structure d'urgence","Depuis le début de votre carrière, depuis combien d'années participez-vous à la médecine d'urgence ? (Pour les médecins : internat compris) ","Type de structure","Postes exercés","Selon vous, quelles seraient les conditions idéales de cadre professionnel pour exercer la médecine d'urgence de manière optimale ? ","Comment définiriez-vous une structure d'urgence idéale?","Comment définiriez-vous un service d'urgence idéal?","Comment définiriez-vous un SAMU-SAS idéal?","Comment définiriez-vous un SMUR idéal?","Comment définiriez-vous le lieu de travail idéal en médecine d'urgence ?","Comment définiriez-vous le nombre d'heures de travail par semaine idéal en médecine d'urgence ?","Comment définiriez-vous le nombre de postes de nuit par semaine idéal en médecine d'urgence ?","Comment définiriez-vous la médecine d'urgence idéale, en terme de type de patients ?","Comment définiriez-vous la médecine d'urgence idéale, en terme de type de soins?","Comment définiriez-vous une situation d'urgence ?","Comment définiriez-vous une situation non urgente ?","Comment définiriez-vous une situation non programmée ?","Sur une échelle de 0 (médiocre) à 10 (excellent) [Quelle est votre perception actuelle de la spécialité Médecine d'Urgence (part de l’urgence réelle, relation avec la médecine de ville, relation avec les autres spécialités)?]","Sur une échelle de 0 (médiocre) à 10 (excellent) [Quelle est votre perception future de la spécialité Médecine d'Urgence (part de l’urgence réelle, relation avec la médecine de ville, relation avec les autres spécialités)?]","Sur une échelle de 0 (médiocre) à 10 (excellent) [Quelle est votre perception actuelle sur l'exercice  (horaires, qualité de vie au travail, ambiance) de la médecine d'urgence ?]","Sur une échelle de 0 (médiocre) à 10 (excellent) [Quelle est votre perception future sur l'exercice (horaires, qualité de vie au travail, ambiance) de la médecine d'urgence ? ]","Commentaire libre"
"2025/09/12 9:36:15 AM UTC+1","Oui","Homme","20-30 ans","Interne de médecine d'urgence","2","Centre Hospitalier Universitaire;Centre Hospitalier Général","SMUR;Filière médico-chirurgicale;Traumatologie légère;UHCD","sereine, rapide et efficace ","organisé, rapide ","Un service avec des PEC optimale et rapide sans attente ","serein, sans tension , des prise en charge plus sure ","rapide avec des moyens, vérifié et avec une réelle plus valu pour les patients ","Moyens suffisant , agréable , non anxiogène et calme ","35","1-2","Calme , reconnaissant , agréable , polis ","Efficace , rapide , optimal ","Situation necessitant une prise ne charge rapide par un médecin ne pouvant pas attendre une consultation programmée les jours à venir ","Une situation sans rique vital ou fonctionnel immédiat pouvant attendre un regard médical les jours qui suivent ","une situation non attendue et soudaine ","5","2","5","6",""
"2025/09/17 12:46:49 PM UTC+1","Oui","Femme","30-40 ans","Interne de médecine d'urgence","2","Centre Hospitalier Universitaire;Centre Hospitalier Général","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Temps de travail maximum 48h/semaine
Variété de poste : SAU / SMUR, SAU/USC , SAU / Réanimation, SAU / Régulation (pas de SAU seul à 100%)
Possibilité de travail en libéral : Soins non-urgent sans RDV , Médicalisation des événements ","Un structure ayant: 
1) Pas de manque de lit d’aval;
2) Parcours dédié pour les soins non urgents sans RDV (géré par des médecins généraliste) ;
3) Parcours dédié pour suivi des traumatologies non-graves (consultations orthopédiques post-fracture sans indication chirurgicale); 
4) Salle radiologie dédiée pour la traumatologie non-grave
5) Patients qui ne restent en UH que max 24h 
6) Bonne coopération entre les urgentistes, les radiologues et autre spécialistes médicaux/chirurgicaux ","Un service ayant:
1) Bon effectif, pas de temps de travail plus de 48h/semaine
2) Les vrais urgences (principalement urgences vitales, déchoc);
3) Salle radiologie dédiée pour la traumatologie non-grave 
4) Bonne coopération entre les médecins et paramédical, bonne délégation des tâches 
5) La prise en charge protocolisée avec bon coordination pour un bon suivi en ville post-urgences ","Pas d’expérience ","Je ne sais pas ","Bonne ambiance entre les personnels, moyen pour se rappeler de faire une pause si besoin, bon fonctionnement des matériels ","max 48hr","pas de limite tant que temps de travail max 48hr/semaine et pas de garde de 24hr ","Patients ayant une urgence vitale
Patients ayant un motif traumatologique 
Patients qui comprennent que les urgences ne remplaçaient pas un médecin traitant ","Soins indispensable de premières 24hrs","Une situation ayant un risque vital dans 24hrs si pas de prise en charge immédiate ","le reste","Une situation imprévisible qui s’est passé dans le dernière 24hrs ","4","5","7","8","Malheureusement le manque de médecins généralistes donc manque de médecins traitants a tendance à empirer. Conséquemment les motifs de consultation au SAU ne sont plus dans le cadre de vrais urgences "
"2025/09/17 3:37:17 PM UTC+1","Oui","Femme","20-30 ans","Praticien non chef de service","6","Centre Hospitalier Général","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Arrêter les interruptions de tâches (téléphone, sursolicitation des paramed, familles…)
","Sectorisée ","Organise et avec de bonnes relations avec les étages ","Régulation systématique des entrées aux urg ","Arrêter de sortir pour toute douleur  thoracique ","120 passages par jour, moyenne structure mais avec réa et Coro (BASTIA ) ","48","2","Arrêter de combler le manque de médecin traitant ","Soins réellement urgent ","Douleur abdo chirurgicale, dyspnee avec signe de lutte","Fièvre depuis moins de 24h chez l’enfant, douleurs abdo de l’adulte sans signe de gravité ","AVP situations sanitaires exceptionnelles ","7","8","7","8","Pour ma part dans mon CH : augmentation du recrutement, incitation au temps hors soins, postes partagé pour moins se fatigue (arrêté de faire comme la vieille génération et séparer Samu et urg )"
"2025/09/19 1:19:15 PM UTC+1","Oui","Femme","20-30 ans","Interne de médecine d'urgence","3","Centre Hospitalier Universitaire;Centre Hospitalier Général","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales","Assez de personnel paramed et med pour prendre lz temps avec les gens pouvoir faire des poses et je pas ressentir un flux d’urgences qui sont la plupart du temps relative donc avoir un médecin d’accueil compétant ","Cr question en bas","Un centre d’imagerie 24h/24h réservé aux urgences pour ne pas faire attendre 4h un patient qui doit avoir un scanner et collaborer avec les radiologue pour programmer des imagerie non urgentes 
Un MAO qui peut renvoyer à la maison ou adresser à la MMG sans refus de la part du patient possible pour ne pas encombrer les urgences de choses inutiles 
De la médico avec des échographies et suffisamment de médecin et de paramed pour ptendre le temps avec lzs patiznts
Ne pas avoir des internes ou externes qui sont là pour faire du flux et quu « remplace » un senior 
De la traumato avec des radio faites dès l’accueil des urgences pour avoir les radio avant d’aller voir le patiznts et ne pas perdre du temps à la prescrire alors qu’elle le sera forcément 
Du dechoc gerer par les urgentiste s 
","Assez de personnel ","Une équipe med et paramed a jour des recommandation et non pas des potes cacher pour lzs fin de carrière ","Hopital avec assez au lit comme on veut pour placer lzs patiznts et un bed manager qui fait son rôle 
Une servuce d’imagerie opérationnel 
Assez de personnel pour ne pas ressentir un flux désagréable 
Des spécialistes disponibles 
Une salle de pause et un extérieur pour faire des pauses ","36-40h","2","Des patiznts nécessitant des prises en charges urgentes ou des avis urgents 
Les patiznts sortant sans biologie ou imagerie ou avec un rdv non urgent dans une spécialité n’a rien à faire aux urgences ","Prise en charge médicale ou interventionnel
Ou nécessiter d’une prise en charge chirurgicale ","Mis en danger de la vie d’autrui en moins de 72h","Prise en charge avec des spécialiste en ville ou à distance  ","Accès à un médecin pour une situation médicale urgente ne nécessitant pas d’intervention médical ou autres de la part d’un médecin ","7","7","7","7",""
"2025/09/22 3:18:31 PM UTC+1","Oui","Femme","30-40 ans","Docteur Junior","4","Centre Hospitalier Universitaire","SAMU-SAS;SMUR;Salle d'accueil des urgences vitales","Avoir le temps pour chaque patient ","Idéale avec une équipe paramed et médical adaptée ","Des lits d’aval accessibles ","Une communication ouverte et bienveillante ","Des debriefs réguliers sur les interventions faites ou à venir ","Un lieu saint où les gens ne se critiquent pas entre eux ","48","2","Un peu de tout mais de manière proportionnée ","Rapide, simple ","Un patient nécessitant une prise en charge immédiate ","Une situation qui pourrait relever de la médecin de ville ","Une situation d’apparition soudaine ","2","1","3","2","Globalement, les spécialistes devraient être plus compréhensifs et plus tolérants sur nos demandes, et les gens devraient être plus bienveillants avec leurs collègues. "
"2025/09/22 4:42:38 PM UTC+1","Oui","Femme","30-40 ans","Praticien non chef de service","6","Centre Hospitalier Universitaire","SAMU-SAS;SMUR;Filière médico-chirurgicale","Des bonnes conditions de travail avec la possibilité de prendre le temps qu’il faut avec les patients, que les temps d’attente après la prise en charge soit réduit pour améliorer le flux et le confort des patients 
En plus si possible un Respect des 39h semaines pour travailler moins fatigué :)","Une structure diversifié avec la possibilité d’exercer tous les postes avec une bonne organisation physique pour se laisser la place et le temps de voir les patient dans de bonne condition. 
Des unités de smur dédié. ","De la place pour voir des patients dans des box dédié sans qu’il ne soit bougé en permanence et attendent dans les couloirs ou autres lieu sans aucune intimité. 
Une vrai filière gériatrique pour diminuer le temps de passage des personnes âgée
","Un samu régional avec une colaboration intereegionnal. 
Une possibilité de pouvoir se déplacer en salle avec des casque sans fils et des bureaux qui se lève pour ne pas rester assis en permanence. De l’ergonomie adapté surtout. 
Mais aussi la possibilité de discuter directement avec nos différents interlocuteurs ","Un smur dédié avec des paramed à au moins 50% d’activité mélange iade et ide. 
SMUR héliporté pour transfert primo secondaire et aussi primaire 
","Proche de mon lieu de vie et plutôt dans la « campagne »","39","2 maximum ","Tout patient nécessitant un service médical urgent. C’est à dire pas ce qui pourrait se faire en médecine générale en heure ouvrable et éviter le passage de patient simplement dans le but de l’hospitaliser. Augmenter le nombre d’entrée direct ","Tout ","Une situation nécessitant un traitement/prise en charge rapide ","Une situation pouvant attendre au moins 24h une prise en charge en médecine libérale. ","Quand il n’y pas la possibilité d’anticiper.  ","6","4","7","6",""
"2025/09/22 4:59:44 PM UTC+1","Oui","Homme","20-30 ans","Interne de médecine d'urgence","1","Centre Hospitalier Universitaire;Centre Hospitalier Général","SAMU-SAS;SMUR;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Un flux contrôlé, une attente la plus faible possible, des motifs de consultation d’urgence valables.","une structure récente de taille raisonnable avec du matériel de qualité et un accès aux multiples examens d’imageries et aux spécialistes. ","Un service composé d’une équipe bien formé au dernière recommandation avec de l’expérience dans le domaine","?","?","?","48h maximum","Environ 2 gardes de 24h par semaines maximum, ou 1 nuit de 12h par semaine","Patients variés, limitation de la patientelle de grand âge .. résident en EHPAD, admission direct en service pour eux, ou médecin général directement au domicile ++","?","Une situation aiguë nécessitant une prise en charge spécialisée dans un service d’urgence ne pouvant pas se faire en médecine de ville par manque de moyens.","Une situation qui peut être géré en médecine de ville ","?","5","5","6","8",""
"2025/09/22 6:38:30 PM UTC+1","Oui","Homme","20-30 ans","Interne de médecine d'urgence","1","Centre Hospitalier Universitaire","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales","Plus de filtre, filière pour orientation plus précise","Avec de vrais patients urgents, bcp moins de social ","Avec de vrais patients urgents, bcp moins de social ","Meilleure orientation ","Idem ","Avec de vrais patients urgents, bcp moins de social ","Environ 35 heures ","2 à 3","Jeunes et nécessitant des prises en charge réellement urgente ","Avec des moyens suffisants pour une bonne prise en charge ","Atteinte d’au moins un organe, non prenable en charge dans un simple cabinet de médecine générale","Qui peut être orienté chez un médecin traitant, avec une PEC nécessitant du chronique  ","Aucune idee","6","4","8","5",""
"2025/09/22 7:26:56 PM UTC+1","Oui","Femme","30-40 ans","Praticien non chef de service","6","Centre Hospitalier Général","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales","Limite les urgences aux urgences 
Ne pas avoir des patients qui attendent plus de 48h aux urgences 
Avoir les effectifs suffisant pour ne pas laisser 5h d'attente avant prise en charge médicale ","Secteur cohérent avec accès de box pour tourner rapidement 
Pas de brancards dans les couloirs","Limite les urgences aux urgences 
Ne pas avoir des patients qui attendent plus de 48h aux urgences 
Avoir les effectifs suffisant pour ne pas laisser 5h d'attente avant prise en charge médicale ","Limite les urgences aux urgences 
Ne pas avoir des patients qui attendent plus de 48h aux urgences 
Avoir les effectifs suffisant pour ne pas laisser 5h d'attente avant prise en charge médicale ","Avoir des arm qui connaissent les secteurs et les surtout le fonctionnement des hôpitaux qu'ils régulent...","Secteur cohérent avec accès de box pour tourner rapidement 
Pas de brancards dans les couloirs","48h","2","Patients qui ne viennent pas pour de la biologie
Patients qui ne viennent pas pour des problèmes chroniques ","Soins d'urgence uniquement ","Pathologie pouvant relevé d'un besoin d'hospitalisation, de chirurgie ou ayant besoin de soins immédiat  pour ne pas se dégrader rapidement ","Pathologies chronique sans dégradation aiguë 
Symptômes symptomatiques entraînant uniquement une gêne ","Pas les patients chroniques qui sont convoqués aux urgences par les étages","5","5","5","5",""
"2025/09/22 9:02:33 PM UTC+1","Oui","Homme","30-40 ans","Praticien non chef de service","6","Centre Hospitalier Général","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Avoir des lits d’avals, respect de la spécialité, ne pas gérer des problèmes chronique ni la médecine de ville","Motif de consultation approprié et ne gérer que des vrai urgences","Flux continu, pas d’interruption de tâche, bonne structure et interaction médecin paramed","Accès facile à la médecine de ville ","/ ","Adapté à la demande de soin, moderne, espace.","39-48h","2","Patient autonome habituellement , pas de patient grabataire ou sans offres de soins possible/deraisonnable 
","Pouvoir prendre le temps de soigner les patient sans « pression »","Mettant en jeu le pronostic vital ","Patient consultant pour un problème chronique, sans consultation chez son médecin traitant au préalable si c’est légitime ","Consultation pour un événement aiguë soudain","6","5","7","6",""
"2025/09/22 9:07:05 PM UTC+1","Oui","Homme","20-30 ans","Docteur Junior","3","Centre Hospitalier Universitaire;Centre Hospitalier Général","SAMU-SAS;SMUR;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Des ressources humaines et matériels suffisantes pour assumer le nombre de patients et avoir plus de temps à leur consacré.","Une structure en capacité de prendre en charge le bassin de populations qu'elle couvre sans surmené ses employés.","Un service ou tout patient, même les moins grave sont vue en moins d'une heure par un médecin.","C'est un SAMU-SAS ou la coopération entre les 2 structures est fluides et facilite la priorisation et la prise en charge des patients.","Un SMUR qui est disponible pour les cas graves à tout moment","Un lieu équipé, avec les ressources humaines suffisante, peu importe le statut privé ou public.","39h","21","Ce serai les patients nécessitant une prise en charge rapide (moins de 24h) au risque d'aggravée le pronostic fonctionnel ou vital","Soins de réanimation/déchocage, traumatologie, d'urgence médico chirurgicale.","Une situation nécessitant une prise en charge spécifique et rapide (moins de 24h).","Une situation pouvant être géré en ambulatoire.","Une situation imprévu, sans rendez vous préalable, que l'on ne peut pas anticipée","1","1","1","1",""
"2025/09/23 7:44:03 PM UTC+1","Oui","Femme","20-30 ans","Docteur Junior","4","Centre Hospitalier Universitaire;Centre Hospitalier Général","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Respect des heures de travail, respect des repos, respect des temps de pose des repas (pas de téléphone, mettre 45 min/1h de pause pour tout le monde), moins de charge administrative (télphone de la salle de soin ou du médecin qui ne servirait pas de ""standard de l'hopital"" sans tri avec l'ensemble des familles / laboratoire appellent toutes les 2 minutes), avoir du matériel fonctionnel et en bon état (ordinateurs, claviers, souris, chaise de bureau avec toutes les roulettes et non trouées). Personnelement j'aimerai un temps de travail égal entre le pré hospitalier et l'hospitalier. ","Un endoit avec des batiments neufs / rénovés, bien entretenus, propres, lumineux avec de la lumière natuelle et des fenetres, une vraie salle de pose avec un extérieur réservé au personnel (non accessible par les patients). Avoir des chambres de gardes individuelles pour tout le monde (interne externes médecins et paramed). ","Une bonne cohésion des équipes avec une bonne entente tout en gardant un respect des professions. Des projets de service, des réunions constructives, des projets de recherche, de la formation med / paramed, de la simulation med/paramed comprise dans les heures de travail de tout le monde. Favoriser les encadrement des étudiants / direction de thèse en y allouant du temps dédié et définit à l'avance compris dans le temps non clinique. 
Favoriser l'aval +++ travailler avec les étages et faire valoriser notre spé auprès des autres spé ","Bon matériel informatique et de bureautique.
Réunions avec ARM AMU et PDS pour discuter / organiser localement / former 
Favoriser formation externes / internes à la régulation et à la connaissance des systèmes d'accès au soins existant dans le secteur + moyens dispo","Bon équipement des équipes (chaussures de sécu perso, vestes hautes visibité à la bonne taille floquées avec l'intulé du poste du professionel, matériel de montagne si concerné), favoriser les vérifications du matériel par tous pour formation et connaissance du matériel disponible + proposer amélioration possibles puis discuter de faisabilité ou non selon budget et après vote. Favoriser l'implication de tous dans la formation, la simulation au sein des équipes. ","Personnellement un temps partagé 80% CHU et 20% en CH périphérique me semble interessant afin de maintenir des services d'urgence de proximité pour les populations ouverts le plus possible ","49h avec 3x12h de temps clinique et 12h de temps non clinique","2 nuits / semaine max","Tout type de patient mais réorganiser l'accueil des patients en urgence psychiatrique +++ car urgences standards inadaptées à la prise en charge de patients psy et contribue à l'épuisement des professionnels ","Soins divers multiples variés avec soins techniques ","Toute situation percue comme urgente (avec risque fonctionnel ou moral ou vital) par un médecin après appel du 15 nécessitant une prise en charge dans les moins de 24h (diagnostique ou thérapeutique)","Toute situation estimée pouvant patienter 24h avant soins ","Situation aigue sans pour autant de risque vital fonctionnel ou moral mais engendrant un inconfort ou une inquiétude du patient indicant un prise en charge en semi urgence (<72h)","3","9","6","10",""
"2025/09/25 6:01:35 AM UTC+1","Oui","Femme","40-50 ans","Infirmier de pratique avancé","10","Centre Hospitalier Général;Isp","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Des explorations rapides, des avis spécialisés rapides","Des explorations rapides, des avis spécialisés rapides
Du personnel en adéquation 
Assez de place pour que chaque patient puisse avoir un minimum d'intimité 
Du respect de chacun
Des protocoles de PEC","Des explorations rapides, des avis spécialisés rapides
Du personnel en adéquation 
Assez de place pour que chaque patient puisse avoir un minimum d'intimité 
Du respect de chacun
Des protocoles de PEC","Du personnel, des prises en compte plus approfondies et pas forcément un appel une ambu une venue aux urgences","Un véhicule fonctionnel et ergonomique","Ensoleillé, clair, apaisant","48h max","2","Médecine variée et riche","Soins variés +++++","Engageant le pronostic vital à plus ou moins court terme. 
Ne pouvant pas être résolue dans un laps de temps acceptable ","Pouvant être résolue par la médecine de ville","Accident ","5","2","4","2",""
"2025/09/26 12:07:57 PM UTC+1","Oui","Homme","20-30 ans","Interne de médecine d'urgence","1","Centre Hospitalier Universitaire;Centre Hospitalier Général","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales","Suffisamment de personnel soignant (médecin IDE AS), plus de places d'hospitalisation disponibles en aval pour ne pas passer la moitié de notre temps au téléphone à démarcher des services pour faire hospitaliser nos patients dans des conditions peu optimales (hébergements, service sans rapport avec la pathologie concernée...)","Une structure capable de prendre en charge RAPIDEMENT un patient qui consulte, sans que le délais d'attente de premier contact avec un médecin ne devienne indécent. 
Une structure capable d'héberger un nombre croissant de patients avec un minimum de confort. Un service d'orientation vers des services d'hospitalisation en rapport avec leur problème de santé. Un service capable de gérer de l'urgence vitale sans délai, qui permet de trier et de traiter TOUS les patients. ","Un sas d'accueil avec MAO et IAO. Un dechocage, un secteur medico-chirurgical, un secteur traumatologie, un secteur psy, un secteur pédiatrique et un secteur gynécologique. 1 UHCD. Avec pour chaque un nombre approprié de médecin et de paramédical (IDE, AS), du genre 1 médecin pour 1 IDE pour 1 AS pour 4 boxes. 
Un circuit long et un circuit court. ","Une structure capable d'identifier au téléphone rapidement les moyens nécessaires à mettre en oeuvre pour le requérant qui appelle, de pouvoir rapidement orienter le requérant vers un médecin urgentiste ou généraliste en fonction. Que les délais d'attente au téléphone ne soient pas indécent. Qu'on ait un nombre suffisant d'équipe disponible. 
Une structure en lien avec toutes les autres qui peut coordonner les différentes interventions et aiguiller les différents requérants en fonction des besoins. ","Une équipe avec minimum 1 médecin 1 IDE et 1 ambulancier, et si possible 1 interne. Tous le matériel nécessaire à une réanimation sur place. Des protocoles de PEC qui visent à minimiser au maximum les délais en dehors de l'hôpital. 
Un appareil d'échographie dans chaque VL. ","Avec des fenêtres ! Si possible pas au sous sol avec des bouts de plafond qui tombent. Accessible facilement depuis l'extérieur par la route, pour les professionnels comme pour les patients, et accessible depuis l'intérieur pour les services de l'hôpital. 
Des ordinateurs à jours et du matériel fonctionnel, adéquat et équivalent dans tous le service et l'hôpital. 
Un bureau par secteur si possible. 
Des chambres de gardes accessible rapidement (pas a l'autre bout de l'hôpital) avec toilettes et SDB. 
Situé à côté d'un service d'imagerie, d'un plateau technique et des blocs chirurgicaux, ainsi que des services de réanimation et soins intensifs. ","48h/semaine paraît honnête, plus = dangereux, moins = confortable. ","Pas plus de 2 gardes/semaine, si possible pas de 24h d'affilée ","De la médecine d'urgence donc des patient venant pour des PEC qui nécessite rapidement des soins. 
Aujourd'hui avec le manque de médecin, c'est plutôt une médecine générale qui permet de pallier au manque de personnel, qui peut soigner aussi les gens en demande de soins non urgents mais dans l'incapacité d'avoir un médecin en ville. 
C'est aussi une médecine qui permet d'élargir l'offre de soins aux patients n'ayant pas la possibilité de passer par le circuit habituel du fait de leur statut administratif, judiciaire ou social. 
C'est une médecine qui doit permettre que TOUS le monde puisse être accueilli et pris en charge. ","Des demandes d'imagerie rapides et efficaces, des soins techniques rapides, des traitements accessibles et efficaces, une mise en relation avec les professionnels et spécialistes les plus à même de prendre en charge les patients qui soit rapide et sans délais, que pour les patients sortants un suivi rapide et disponible soit facile à mettre en place. 
Une PEC qui soit rapide et efficace avec un temps passé dans le service le plus court possible. ","Une situation de santé qui met en péril la poursuite d'une vie normale pour un patient et où la mise en place immédiate de soins médicaux permet d'éviter ladite situation de s'aggraver et de la soigner. 
Une situation qui nécessite rapidement une prise en charge et qui si elle ne l'est pas peut causer un préjudice grave au patient. ","Une situation de santé qui ne nécessite de manière immédiate la mise en place de soins médicaux et qui peut patienter plusieurs jours avant d'être vue par un médecin. ","La survenue au cours d'un événement d'une situation non anticipée, non prévisible dans le cadre de la prise en charge d'un patient, et qui n'aurait pas pu l'être même dans le cadre d'une prise en charge idéale et bien menée. ","6","4","7","6",""
"2025/09/26 3:41:15 PM UTC+1","Oui","Femme","40-50 ans","Infirmier diplômé d'état","20","Centre Hospitalier Universitaire","SAMU-SAS","Un ratio médecins / paramédicaux /nombres d'entrées acceptable ","Une structure adaptée aux nombres d'entrées effectuées ","Un service où l'on fait de ""vraies"" urgences et non pas de la biologie ","Un service où l'on fait de ""vraies"" urgences et non pas de la biologie ","Pas concerné ","+ de box ","Ne sais pas ","7 Ide 4 AS","Arrêter de prendre en charge la médecine de ville","Type de soins diversifiés et variés ","Situation où le processus vital du patient est en jeu ","Toutes les autres !!! ","Toutes les entrées au SAU sont non programmées","5","6","4","6",""
"2025/09/28 9:57:32 PM UTC+1","Oui","Femme","50-60 ans","Praticien non chef de service","35","Centre Hospitalier Universitaire;Centre Hospitalier Général;Etablissement de santé privé d'intérêt collectif","SAMU-SAS;SMUR;Salle d'accueil des urgences vitales;UHCD","Faire de la vraie médecine d'urgence et non acceuil petite traumato ou personnes âgées dementes","Belle architecture, moins de cadre et d'administratif, bienveillance, tri des malades et nombreux lots d'aval","Le même avec une super ambiance, des portes fermées et réorientation ","Arrêter le numéro gratuit injoignable ","Faire des sorties normales","Aéré lumineux, grand,","36h","1","Vraies patients tries avec pathologie d'urgence et non douleur dos, fatigué,aeg","Vraie soins de dechocage","Pathologie du dechocage ","Petite traumato, aeg, maintien a domicile difficile, anémie chronique ","Situation non programmée ","1","2","1","1","Il faut tout réformer, arrêter la médecine gratuite, on paye chez son médecin....trier patients et arrêter PDS sur le 15 "
"2025/09/29 12:44:12 PM UTC+1","Oui","Homme","40-50 ans","Praticien non chef de service","23","Centre Hospitalier Universitaire;Centre Hospitalier Général","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Recentré sur notre spécialité +++  / plus protégé du « flux » entrant (quotas de patients par praticiens et par heure maximum défini et respecté avec adaptation des effectifs p/r flux) / protégé des taches administratives chronophages, sans valeur ajoutée du médecin ","Différenciée de la permanence de soin ambulatoire et hospitalière ! Dédiée aux urgences vitales, fonctionnelles ou ressenties. N’assurant pas la fonction de permanence de soin, la médecine générale, l’accueil des hospitalisation…","Filières, temps de premier contact médical court, imagerie dédiée, polyvalent de l’urgence fonctionnelle au dechocage… Culture de la performance, appuyée sur une intégration des facteurs humains à chaque étape de la prise en charge ","Moins médical, plus protocolise","Performant, entrainé, centré sur la plus value objective médicale ","Spacieux, moderne, connecté au reste de l’hôpital, intégrant la notion de bien être au travail ","36 postées et 4 à 6 non postées ","1 ou 2 selon l’âge…","Prise en charge urgente <12h, patients triés et bien orientés ","Techniques, invasifs, immédiats ou urgents, humains !","Dont la prise en charge doit être immédiate ou différée <6h avec une plus value médicale attendue ","Prise en charge pouvant être différée, assurée par un autre corps de métier (paramédical) relevant d’une consultation spécifique ou d’une hospitalisation programmée ","Non prévu, non anticipable, non intégré dans un suivi, non differable >24h","5","7","7","8","On peut, il faut améliorer les choses!"
"2025/09/29 1:22:18 PM UTC+1","Oui","Homme","50-60 ans","Infirmier diplômé d'état","32","Centre Hospitalier Universitaire;Centre Hospitalier Général","SMUR","Personnel en nombre, structure adaptée ","Locaux spacieux et suffisamment de moyens","Traitement uniquement de l’urgence vitale","Suffisamment de plages horaires pour la médecine générale ","Maintient des compétences et suffisamment de moyens. Bon professionnalisme ","Structure vaste avec de grands box","35h","Question non comprise","Présence de patients victimes d’urgences vitales","Soins techniques et écoute du patient","C’est l’urgence vitale","Médecine générale ","Soins externes","2","0","2","2",""
"2025/09/29 1:27:07 PM UTC+1","Oui","Femme","30-40 ans","IDE en structure d’urgence en formation pour devenir IPAU (M2)","8","Centre Hospitalier Général","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Suffisant de personnel et des organisations qui permettent de s’adapter au flux de patients ","Des organisations régulièrement revues qui s’adaptent aux besoins, des procédures dégradées efficientes, des moyens matériels suffisants","Des équipes stables, une vision commune de l’exercice","Un service qui a les moyens d’orienter les patients vers la médecine de ville (implication suffisante des acteurs libéraux), une MMG qui a des plages horaires larges ( pas seulement une grade pour les soirées de la semaine), un service qui est en lien de manière efficace avec la régulation du SDIS. ","Des acteurs qui n’ont qu’une fonction, ce qui permet de ne pas « déshabiller » les services d’urgence lors de départs SMUR","CH périphérique, plateau technique « suffisant » (UNV et Coro au minimum), équipes médicales et paramédicales à « taille humaine ».","48 h","Pas plus de la moitié du temps de travail","Patients qui nécessitent des soins d’urgence, pas de patients qui se retrouvent aux urgences faute de réponse en ville.","Des soins techniques et relationnels prodigués pour répondre à une situation  d’urgence relative ou absolue ou à une situation clinique décompensée . Pas de soins qui pourraient  être délivrés en ville. ","Situation mettant en jeu le pronostic vital ou fonctionnel du patient à court ou moyen terme nécessitant l’intervention, l’expertise clinique et les moyens matériels d’une équipe médicalisée ou para médicalisée. ","Situation qui ne met pas en jeu le pronostic vital ou fonctionnel du patient à court ou moyen terme.","Réponse qui peut être apportée par la médecine de ville, dans une situation qui ne relève pas du suivi d’une pathologie chronique. ","5","5","6","6","Je ne suis pas sûre que la situation s’améliore malgré les efforts des protagonistes de la médecine d’urgence et les réflexions entamées au vu de la pression sur les sévices d’urgence qui est de plus en plus forte."
"2025/09/29 2:25:07 PM UTC+1","Oui","Homme","50-60 ans","Ambulancier diplômé d'état","18","Centre Hospitalier Général","SMUR","Équité ","Décisions collégiales ","Respect","Optimisation des moyens ","Reconnaissance et application des recommandations ","Équité ","Si tous les professionnels sont traités de la même manière,le nombre d heures est aléatoire ","Voir ci dessus ","Maison médicale à proximité des urgences ","Formation « Excellence » pour tous les professionnels ","Tous les scénarios mettant en jeu le pronostic vital ","Le contraire de ci dessus ","A diagnostiquer ","5","5","4","4","Réhumaniser l hôpital "
